title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
DIAMI,New Launch,4-sty Terrace/Link House,Freehold,Residential,1622500.0,4054,4,5,4,House,Gombak,Selangor
DIAMI,New Launch,4-sty Terrace/Link House,Freehold,Residential,2090000.0,4820,5,6,4,House,Gombak,Selangor
Temokin Promenade,Completed Project,Shop,Freehold,Commercial,754800.0,3080,0,0,1,Shop or Office,Pasir Gudang,Johor
Temokin Promenade,Completed Project,Shop,Freehold,Commercial,888000.0,3080,0,0,1,Shop or Office,Pasir Gudang,Johor
Temokin Promenade,Completed Project,Shop,Freehold,Commercial,1441600.0,5962,0,0,1,Shop or Office,Pasir Gudang,Johor
Sunway Grid Residence,Open for Sale,Apartment,Leasehold,Residential,432000.0,541,1,1,2,House,Johor Bahru,Johor
Sunway Grid Residence,Open for Sale,Apartment,Leasehold,Residential,555600.0,735,1,1,2,House,Johor Bahru,Johor
Tiara Sendayan,New Launch,2-sty Terrace/Link House,Freehold,Residential,400000.0,1576,4,3,2,House,Labu,Negeri Sembilan
Trinity Elita,New Launch,Apartment,Freehold,Commercial,531000.0,739,2,2,1,House,Puchong,Selangor
Trinity Elita,New Launch,Apartment,Freehold,Commercial,666000.0,974,3,2,1,House,Puchong,Selangor
Trinity Elita,New Launch,Apartment,Freehold,Commercial,733000.0,1026,3,2,2,House,Puchong,Selangor
Ponderosa Vista 2-Storey Terrace,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,1100000.0,2700,4,4,0,House,Johor Bahru,Johor
