title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
The Nobel Healthcare Park,New Launch,Suites,Leasehold,Commercial,414000.0,223,0,1,0,House,Bukit Jalil,Kuala Lumpur
Sky Trees Commercial,New Launch,Shop Office,Freehold,Commercial,687000.0,894,0,0,1,Shop or Office,Iskandar Puteri (Nusajaya),Johor
Sky Trees Commercial,New Launch,Shop Office,Freehold,Commercial,886000.0,1087,0,0,2,Shop or Office,Iskandar Puteri (Nusajaya),Johor
Sky Trees Commercial,New Launch,Shop Office,Freehold,Commercial,745000.0,904,0,0,1,Shop or Office,Iskandar Puteri (Nusajaya),Johor
Orchid @ Meridin East,Completed Project,2-sty Terrace/Link House,Freehold,Residential,463000.0,1782,4,3,0,House,Pasir Gudang,Johor
Acacia @ Meridin East,Open for Sale,2-sty Terrace/Link House,Freehold,Residential,498000.0,1838,4,3,0,House,Pasir Gudang,Johor
Ferringhi Residence 2,Open for Sale,Condominium,Freehold,Residential,788584.0,1494,3,3,2,House,Batu Ferringhi,Penang
Ferringhi Residence 2,Open for Sale,Condominium,Freehold,Residential,852655.0,1565,4,4,2,House,Batu Ferringhi,Penang
Ferringhi Residence 2,Open for Sale,Condominium,Freehold,Residential,643432.0,1208,2,2,2,House,Batu Ferringhi,Penang
Hazel @ Meridin East,Completed Project,2-sty Terrace/Link House,Freehold,Residential,487000.0,1964,4,3,0,House,Pasir Gudang,Johor
i-Parc @ Tanjung Pelepas (Detached Factory),Open for Sale,Detached factory,Freehold,Industrial,3528000.0,10000,0,0,0,Factory,Gelang Patah,Johor
i-Parc @ Tanjung Pelepas (Semi-D Factory),Open for Sale,Semi-D factory,Freehold,Industrial,1829000.0,5075,0,0,0,Factory,Gelang Patah,Johor
i-Parc @ Tanjung Pelepas (Semi-D Factory),Open for Sale,Semi-D factory,Freehold,Industrial,2094000.0,6475,0,0,0,Factory,Gelang Patah,Johor
M Aruna Phase 3 (Delphy),Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,590000.0,1800,4,3,2,House,Rawang,Selangor
M Astra,Open for Registration,Serviced Residence,Leasehold,Commercial,399000.0,850,3,2,0,House,Setapak,Kuala Lumpur
M PANORA,Open for Registration,2-sty Terrace/Link House,Freehold,Residential,708800.0,1770,4,3,2,House,Rawang,Selangor
M Sinar @ Southville City,Open for Registration,Serviced Residence,Freehold,Commercial,270000.0,550,2,1,2,House,Bangi,Selangor
M Sinar @ Southville City,Open for Registration,Serviced Residence,Freehold,Commercial,347000.0,868,3,2,2,House,Bangi,Selangor
M Terra,Open for Registration,Serviced Residence,Leasehold,Commercial,250000.0,549,1,1,1,House,Puchong,Selangor
Sierra Square,Open for Sale,Shop Office,Freehold,Commercial,635538.0,3057,0,0,0,Shop or Office,Masai,Johor
